-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,
-8.487785,-8.488193,-8.488600,-8.489007,-8.489414,-8.489821,-8.490228,-8.490636,-8.491043,-8.491450,-8.491857,-8.492264,-8.492671,-8.493078,-8.493486,-8.493893,-8.494300,-8.494707,-8.495114,-8.495521,-8.495928,-8.496336,-8.496743,-8.497150,-8.497557,-8.497964,-8.498371,-8.498779,-8.499186,-8.499593,-8.500000,
-6.976038,-6.976836,-6.977635,-6.978434,-6.979233,-6.980031,-6.980830,-6.981629,-6.982428,-6.983226,-6.984025,-6.984824,-6.985623,-6.986421,-6.987220,-6.988019,-6.988818,-6.989616,-6.990415,-6.991214,-6.992013,-6.992811,-6.993610,-6.994409,-6.995208,-6.996006,-6.996805,-6.997604,-6.998403,-6.999201,-7.000000,
-5.518510,-5.517893,-5.517276,-5.516659,-5.516042,-5.515425,-5.514808,-5.514191,-5.513574,-5.512957,-5.512340,-5.511723,-5.511106,-5.510489,-5.509872,-5.509255,-5.508638,-5.508021,-5.507404,-5.506787,-5.506170,-5.505553,-5.504936,-5.504319,-5.503702,-5.503085,-5.502468,-5.501851,-5.501234,-5.500617,-5.500000,
-4.012213,-4.011806,-4.011399,-4.010992,-4.010585,-4.010178,-4.009771,-4.009364,-4.008956,-4.008549,-4.008142,-4.007735,-4.007328,-4.006921,-4.006514,-4.006107,-4.005700,-4.005292,-4.004885,-4.004478,-4.004071,-4.003664,-4.003257,-4.002850,-4.002443,-4.002036,-4.001628,-4.001221,-4.000814,-4.000407,-4.000000,
-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,-2.500000,
-0.988221,-0.988614,-0.989007,-0.989399,-0.989792,-0.990185,-0.990577,-0.990970,-0.991362,-0.991755,-0.992148,-0.992540,-0.992933,-0.993325,-0.993718,-0.994111,-0.994503,-0.994896,-0.995289,-0.995681,-0.996074,-0.996466,-0.996859,-0.997252,-0.997644,-0.998037,-0.998430,-0.998822,-0.999215,-0.999607,-1.000000,
0.469597,0.470610,0.471624,0.472637,0.473651,0.474664,0.475677,0.476691,0.477704,0.478718,0.479731,0.480745,0.481758,0.482772,0.483785,0.484798,0.485812,0.486825,0.487839,0.488852,0.489866,0.490879,0.491892,0.492906,0.493919,0.494933,0.495946,0.496960,0.497973,0.498987,0.500000,
1.975572,1.976386,1.977201,1.978015,1.978829,1.979643,1.980458,1.981272,1.982086,1.982901,1.983715,1.984529,1.985343,1.986158,1.986972,1.987786,1.988600,1.989415,1.990229,1.991043,1.991857,1.992672,1.993486,1.994300,1.995114,1.995929,1.996743,1.997557,1.998371,1.999186,2.000000,
3.487785,3.488193,3.488600,3.489007,3.489414,3.489821,3.490228,3.490635,3.491043,3.491450,3.491857,3.492264,3.492671,3.493078,3.493486,3.493893,3.494300,3.494707,3.495114,3.495521,3.495928,3.496336,3.496743,3.497150,3.497557,3.497964,3.498371,3.498779,3.499186,3.499593,3.500000,
5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,

